F_ID,F_mass_mg,F_ceph_width_mm,F_mature,M_ID,M_mass_mg,M_ceph_width_mm,M_mature,Site,Treatment,Mate_Date,Mated,bobs_before_quiescent,bobs_before,bobs_mating1,quiescent_lat_s,mating_lat_s,quiescent_mate,quiescent_bouts,total_quiescent1,remains_quiescent,total_mating1,total_mating2,total_mating3,partial_mating,num_matings,bobs_after,total_mating,total_video,notes
AP005,53.6,2.379,8/17/22,AP207,58.8,2.859,9/6/22,Urban,Loud,10/26/22,1,2,59,476,220,1242,1022,1,11267,N,10245,10574,,,2,810,20819,28767,
AP006,133,3.618,9/9/22,AP222,74,3.295,9/9/22,Urban,Quiet,10/17/22,0,,,,,,,,,,,,,,,,,,
AP023,125.6,3.891,8/22/22,AP209,95.9,3.422,8/22/22,Urban,Quiet,11/4/22,0,,,,,,,,,,,,,,,,,,
AP025,66.6,2.802,8/22/22,AP195,72.3,3.137,8/30/22,Urban,Loud,11/13/22,1,13,44,38,3901,4825,924,1,22984,Y,22060,,,,1,68,22060,27191,
AP042,157.1,3.775,8/17/22,AP234,85.6,3.176,8/22/22,Urban,Quiet,10/29/22,1,0,14,35,221,8385,8164,3,11043,N,9553,10212,,1037,3,126,20802,24882,
AP045,85.9,3.055,,AP203,143.7,4.324,8/22/22,Urban,Quiet,11/10/22,1,0,14,45,2050,2959,909,1,7287,N,6378,5011,,,2,77,11389,17970,
AP049,155.1,3.665,8/12/22,AP199,98.4,3.702,8/22/22,Urban,Loud,10/23/22,1,0,46,4,630,2502,1872,2,4965,N,3756,2584,,,2,107,6340,20388,
AP053,117.2,3.493,9/16/22,AP227,72.9,3.197,9/9/22,Urban,Loud,10/10/22,1,0,59,99,10,1763,1753,1,17348,N,15595,,,1081,2,112,16676,19854,
AP054,108.9,3.553,,AP186,67.2,3.11,9/9/22,Urban,Quiet,9/30/22,0,,,,,,,,,,,,,,,,,,
AP060,66.4,2.823,8/30/22,AP228,81.5,3.209,8/30/22,Urban,Loud,10/20/22,1,0,26,67,35,5736,5701,2,4848,N,4569,,,,1,67,4569,17190,
AP065,138.4,3.449,8/17/22,AP208,82.7,3.266,8/22/22,Urban,Loud,11/1/22,0,,,,,,,,,,,,,,,,,,
AP068,142.8,3.673,9/6/22,AP220,70.6,3.173,9/6/22,Urban,Quiet,11/10/22,1,0,19,168,700,3888,3188,1,19376,Y,16188,,,,1,168,16188,21372,
AP070,88.8,3.469,8/17/22,AP223,88.5,3.596,8/22/22,Urban,Quiet,11/7/22,1,0,93,52,314,3661,3347,1,6080,N,2733,,,,1,52,2733,25248,
AP089,84.1,3.364,8/25/22,AP182,67,3.106,8/25/22,Rural,Loud,11/1/22,1,58,62,100,2661,3206,545,1,7868,N,7323,,,,1,111,7323,12312,
AP090,117.7,3.245,8/22/22,AP152,70.2,3.277,8/22/22,Rural,Quiet,11/7/22,0,,,,,,,,,,,,,,,,,,
AP092,61.2,2.925,8/22/22,AP151,148.8,3.893,8/22/22,Rural,Quiet,11/4/22,1,0,69,22,94,3669,3575,2,3754,N,3424,,,,1,45,3424,15600,
AP095,115.8,2.972,9/6/22,AP163,51.7,2.759,9/6/22,Rural,Loud,10/17/22,1,18,39,88,566,801,235,1,6395,N,6160,13619,,,2,349,19779,23670,
AP097,129,3.144,8/17/22,AP146,144.8,4.059,8/17/22,Rural,Loud,10/23/22,1,9,13,33,686,1031,345,1,8351,N,8006,,,,1,38,8006,15540,
AP099,165.5,3.291,8/22/22,AP143,95.1,3.238,8/22/22,Rural,Loud,11/10/22,1,22,38,82,6106,7303,1197,1,8458,N,7261,,,,1,86,7261,21258,
AP111,135.8,3.421,8/25/22,AP169,46.3,2.667,8/25/22,Rural,Loud,10/20/22,1,16,40,0,4147,4734,587,1,3701,N,3114,3465,,,2,39,6579,17070,
AP116,126.7,3.375,8/25/22,AP162,67.3,3.269,8/25/22,Rural,Loud,10/6/22,1,47,89,224,5974,6354,380,1,19450,N,19070,,,,1,252,19070,24948,
AP121,73.3,2.405,8/22/22,AP136,108.3,3.67,8/22/22,Rural,Quiet,10/29/22,1,5,32,53,981,1979,998,1,19862,N,18864,,,,1,81,18864,23136,
AP123,100.8,2.816,8/25/22,AP164,54.2,2.931,8/25/22,Rural,Quiet,10/10/22,1,5,86,438,450,1107,657,1,21092,Y,20435,,,,1,438,20435,21720,
AP126,93.5,2.914,8/22/22,AP181,82.6,3.255,8/22/22,Rural,Quiet,10/26/22,1,2,30,128,155,1910,1755,1,6919,Y,5164,,,,1,128,5164,21504,
AP132,83.8,2.718,8/25/22,AP183,50.1,2.553,9/6/22,Rural,Quiet,11/13/22,0,,,,,,,,,,,,,,,,,,
AP139,82.3,2.862,9/6/22,AP125,56.9,2.733,8/22/22,Rural,Loud,11/13/22,1,17,217,152,1490,4523,3033,1,27206,N,24173,,,,1,152,24173,29790,
AP140,121,3.312,9/13/22,AP109,58.3,2.92,9/9/22,Rural,Loud,11/10/22,0,,,,,,,,,,,,,,,,,,
AP142,75.9,2.998,9/2/22,AP093,67.4,3.277,9/2/22,Rural,Loud,10/26/22,1,14,246,104,1964,7301,5337,1,20694,N,15357,,,,1,158,15357,22818,
AP145,89.6,3.476,9/2/22,AP119,84.6,3.205,8/22/22,Rural,Quiet,11/1/22,1,2,54,111,11,1693,1682,2,17906,N,16987,,,,1,111,16987,22518,
AP156,99.9,2.935,8/30/22,AP085,69.9,3.234,8/22/22,Rural,Loud,10/7/22,1,0,33,105,701,1897,1196,1,6967,Y,5771,1517,,,2,160,7288,12228,
AP158,52.8,2.441,8/22/22,AP091,59.7,2.978,8/22/22,Rural,Loud,11/7/22,1,88,123,95,5238,6319,1081,1,11844,N,10763,,,,1,138,10763,24390,
AP161,60.7,2.804,8/22/22,AP120,59.7,3.03,8/22/22,Rural,Loud,11/4/22,1,6,15,7,670,1308,638,1,5585,N,4947,,,,1,24,4947,15228,
AP165,69.6,2.985,9/2/22,AP118,50.5,2.817,9/2/22,Rural,Loud,10/29/22,1,12,43,141,2312,9749,7437,4,,,,,,19627,1,141,19627,29376,
AP168,129.4,3.357,8/17/22,AP110,94.9,3.626,8/17/22,Rural,Quiet,10/10/22,1,0,19,45,24,1365,1341,1,6187,N,4846,11096,,,2,132,15942,20022,
AP173,122.5,2.938,8/22/22,AP129,61.3,3.185,8/22/22,Rural,Quiet,10/23/22,1,32,52,185,3544,3794,250,1,15806,N,15556,,,,1,185,15556,20442,
AP174,75.9,2.728,8/17/22,AP100,77.3,3.219,8/17/22,Rural,Quiet,10/20/22,1,42,67,83,4305,5420,1115,1,12459,Y,11344,,,,1,86,11344,18864,
AP178,95,2.89,8/30/22,AP117,66.2,3.093,8/30/22,Rural,Quiet,10/17/22,1,9,28,73,78,1923,1845,2,7894,Y,7470,1148,,,2,124,8618,23460,
AP188,136.8,3.381,8/22/22,AP021,49.7,2.692,9/9/22,Urban,Quiet,11/13/22,0,,,,,,,,,,,,,,,,,,
AP190,71.3,2.802,9/9/22,AP064,132.5,4.039,9/6/22,Urban,Loud,10/10/22,1,8,41,8,1391,12075,10684,1,17040,N,6356,,,,1,11,6356,20208,unsure_timing
AP191,85.9,3.182,9/6/22,AP043,82.2,3.328,9/6/22,Urban,Quiet,10/6/22,1,4,37,75,384,1602,1218,2,10571,N,9829,2075,1683,,3,254,13587,24342,
AP193,57.8,2.498,9/6/22,AP041,84,3.204,9/6/22,Urban,Loud,10/29/22,0,,,,,,,,,,,,,,,,,,
AP196,84.1,3.129,9/13/22,AP008,97.7,3.668,9/13/22,Urban,Quiet,10/26/22,1,9,117,80,4823,6511,1688,2,13138,N,12169,,,,1,89,12169,21600,
AP210,95.6,2.854,8/25/22,AP001,59,2.829,8/30/22,Urban,Loud,10/17/22,1,5,50,48,573,1693,1120,1,10696,Y,9576,2127,,,2,164,11703,23052,
AP218,94.9,3.567,9/2/22,AP063,106.3,3.556,9/2/22,Urban,Quiet,10/23/22,1,11,93,122,1794,4096,2302,1,,,,,,18188,1,190,10460,22284,
AP224,69.8,2.687,9/6/22,AP019,64.4,3.002,9/6/22,Urban,Loud,11/4/22,0,,,,,,,,,,,,,,,,,,
AP225,101.8,3.39,8/30/22,AP026,76,3.259,8/30/22,Urban,Loud,11/7/22,1,0,38,114,1089,1490,401,1,10916,N,10515,,,,1,117,10515,14555,
AP229,102.1,3.489,8/25/22,AP015,88.3,3.375,8/25/22,Urban,Quiet,10/20/22,1,0,41,16,1516,12216,10700,1,15696,Y,4996,,,,1,22,4996,19116,
AP231,107.4,3.491,9/9/22,AP057,72,3.107,9/6/22,Urban,Quiet,11/1/22,1,2,36,31,6474,7272,798,1,7449,N,6651,,,,1,79,6651,19882,